month,incoming_bid_avg_sun,incoming_bid_avg_sbn,dpk_bankumum,dv_bankindonesia,vix_index,bfcius_bberg
2012-01-01,38.90175,38.90175,2770.57007,0,20.40318182,-1.200590909
2012-02-01,32.32425,18.45775,2763.94286,0,18.39,-0.785571429
2012-03-01,12.3525,8.04325,2825.9749,0,16.16727273,-0.655590909
2012-04-01,17.163,11.39625,2841.36139,0,17.76952381,-0.710952381
2012-05-01,14.01525,8.320625,2908.95747,0,21.03478261,-0.828
2012-06-01,13.7417,7.83485,2955.83307,0,21.13095238,-0.996190476
2012-07-01,22.08845,15.39196667,2961.41652,0,17.52409091,-0.6265
2012-08-01,14.2669,10.1556,2984.05047,0,15.68956522,-0.378347826
2012-09-01,12.9964,9.325266667,3049.95609,0,15.394,-0.1926
2012-10-01,18.39695,8.59758,3070.60356,0,16.40956522,-0.022869565
2012-11-01,28.94,28.94,3130.51803,0,16.63863636,0.025590909
2012-12-01,9.153,9.153,3225.19777,0,17.33238095,0.030190476
2013-01-01,16.71065,16.71065,3205.00603,0,13.65608696,0.315826087
2013-02-01,24.11025,13.654125,3207.34168,0,13.992,0.3383
2013-03-01,11.7711,7.1863,3243.13638,0,13.01571429,0.400619048
2013-04-01,18.898,9.0003,3299.35044,0,13.96727273,0.370954545
2013-05-01,16.863,9.646125,3349.65996,0,13.51521739,0.455130435
2013-06-01,9.01875,6.8355,3374.27183,0,17.2715,0.0092
2013-07-01,19.32676667,13.03106,3392.92667,0,14.07130435,0.184521739
2013-08-01,23.0153,17.08015,3440.20718,0,14.21,0.264545455
2013-09-01,29.213,18.5565,3526.18799,0,14.80238095,0.233142857
2013-10-01,28.15985,15.823925,3520.89043,0,15.40782609,0.465173913
2013-11-01,17.24465,8.0421842,3563.36237,0,12.92666667,0.728
2013-12-01,10.0675,10.0675,3663.96758,0,14.11454545,0.5805
2014-01-01,29.84075,21.8325,3594.69682,0,14.14,0.642130435
2014-02-01,25.8668,15.6942,3603.61953,0,15.375,0.5627
2014-03-01,33.75095,16.0899136,3618.06068,0,14.83666667,0.666571429
2014-04-01,19.40956667,12.95554,3694.76478,0,14.16,0.796318182
2014-05-01,14.6449,8.79545,3763.47421,0,12.42454545,0.869636364
2014-06-01,17.72,10.59425,3834.50258,0,11.54142857,0.945
2014-07-01,21.00425,11.391625,3787.05228,0,12.21043478,0.897565217
2014-08-01,19.811,11.69675,3855.88555,0,13.49190476,0.756809524
2014-09-01,25.0639,16.56994,3995.80304,0,13.39909091,0.771590909
2014-10-01,32.8504,13.28746667,4011.36828,0,18.05869565,0.356
2014-11-01,22.657,22.657,4054.67986,0,13.346,0.6372
2014-12-01,0,0,4114.41989,0,16.20869565,0.367347826
2015-01-01,38.83025,27.61925,4106.35792,0,19.20636364,0.068909091
2015-02-01,38.16215,24.401575,4151.44778,0,15.8435,0.2609
2015-03-01,18.43616667,13.2417,4198.577,0,14.81272727,0.281409091
2015-04-01,8.95975,7.011375,4217.62505,0,13.54818182,0.324136364
2015-05-01,12.4479,8.395325,4232.14953,0,13.28095238,0.296142857
2015-06-01,32.6439,15.69316,4319.74914,0,14.33954545,0.197636364
2015-07-01,26.4205,16.57375,4328.82243,0,14.45869565,0.171913043
2015-08-01,24.4735,16.77025,4366.571,0,19.42809524,-0.186571429
2015-09-01,11.0264,8.51914,4464.083,0,24.53272727,-0.605181818
2015-10-01,11.92615,7.810725,4370.40392,0,16.78954545,-0.209636364
2015-11-01,15.7677,9.706525,4367.01913,0,16.16142857,-0.010904762
2015-12-01,18.893,18.893,4413.05644,0,17.92608696,-0.287173913
2016-01-01,25.6046,18.1988,4385.02387,0,23.61285714,-0.777047619
2016-02-01,29.644,20.9915,4437.5149,0,22.65428571,-0.89152381
2016-03-01,21.5599,17.37834,4468.955,0,15.80086957,-0.393304348
2016-04-01,28.22105,21.251525,4478.40892,0,14.30047619,-0.22347619
2016-05-01,14.059,13.10048,4508.45226,0,14.77409091,-0.124909091
2016-06-01,29.93125,18.642075,4574.67079,0,17.77454545,-0.338772727
2016-07-01,46.8505,39.105,4585.38104,0,13.2352381,-0.089190476
2016-08-01,34.98686667,27.55522,4610.13018,0,12.39956522,-0.194956522
2016-09-01,18.13,14.9018,4604.57883,0,14.11772727,-0.328636364
2016-10-01,14.04355,9.38745,4652.65832,0,14.5852381,-0.268238095
2016-11-01,22.5145,13.74475,4733.977,0,15.10863636,-0.172090909
2016-12-01,29.2872,29.2872,4836.75844,0,12.42545455,-0.096727273
2017-01-01,46.67946667,37.55624,4825.33557,0,11.70181818,0.012727273
2017-02-01,33.53695,24.206375,4846.42004,0,11.5285,0.06655
2017-03-01,30.1968,22.71615,4916.665,0,11.89782609,0.346913043
2017-04-01,44.5158,29.4727,4920.453,0,13.2775,0.29965
2017-05-01,34.03285,20.2145,5012.4555,0,10.81652174,0.656173913
2017-06-01,27.9293,21.5022,5045.956,0,10.51363636,0.780181818
2017-07-01,34.8343,23.219125,5032.685,0,10.31,0.823285714
2017-08-01,52.46765,32.76068,5052.553,0,11.97565217,0.664
2017-09-01,54.47125,40.7328,5142.89125,0,10.42333333,0.756238095
2017-10-01,36.85696667,28.35292,5162.30589,0,10.12545455,0.927090909
2017-11-01,38.9235,22.4729,5199.486,0,10.51045455,1.064363636
2017-12-01,0,0,5289.377,0,10.24714286,0.92952381
2018-01-01,68.63536667,53.23506,5228.787,0,11.02217391,0.933869565
2018-02-01,43.4684,30.10635,5255.301,0,22.3145,0.31845
2018-03-01,41.02365,25.9317,5293.098,0,19.06681818,0.075181818
2018-04-01,27.37045,19.03105,5317.212,0,18.26761905,-0.064333333
2018-05-01,19.3307,12.09078,5336.577,0,14.08521739,0.368130435
2018-06-01,29.3061,18.2267,5398.817,0,13.67809524,0.443809524
2018-07-01,35.02503333,25.5003,5379.318,0,13.28363636,0.572045455
2018-08-01,46.83065,29.840575,5399.993,0,12.54695652,0.81973913
2018-09-01,44.21005,26.779275,5482.493,0,12.908,0.9629
2018-10-01,44.4526,24.898,5554.526,0,19.35217391,0.575173913
2018-11-01,50.5555,37.37866667,5573.389,0,19.45318182,0.220045455
2018-12-01,0,0,5630.448,0,25.28190476,-0.408761905
2019-01-01,53.18626667,34.47438333,5563.162,0,19.74956522,-0.076478261
2019-02-01,80.14395,50.80535,5600.412,0,15.2185,0.59075
2019-03-01,58.9063,42.670825,5672.886,0,14.4852381,0.723571429
2019-04-01,36.8053,24.76142,5670.004,0,12.91,0.901818182
2019-05-01,29.57805,19.62002,5671.335,0,16.68391304,0.67673913
2019-06-01,54.7969,47.4942,5799.49406,0,15.836,0.51535
2019-07-01,52.83553333,42.28452,5812.07563,0,13.27391304,0.776869565
2019-08-01,27.8073,23.766025,5811.58234,0,18.97909091,0.198409091
2019-09-01,39.39525,32.409,5891.91759,0,15.72190476,0.297714286
2019-10-01,60.93605,43.16186,5904.11763,0,15.46652174,0.154
2019-11-01,54.9888,38.453075,6634.9977,0,12.48666667,0.417714286
2019-12-01,0,0,6665.3902,0,13.70727273,0.453909091
2020-01-01,88.26095,70.644925,5941.722,0,13.85391304,0.717478261
2020-02-01,112.01055,88.53515,6035.65899,0,19.3315,0.55275
2020-03-01,54.4121,42.91556,6214.30636,0,57.73681818,-4.023181818
2020-04-01,43.023,32.305125,6128.08969,1,41.46363636,-3.329454545
2020-05-01,73.7455,37.66213333,6175.35635,1,30.76666667,-1.060619048
2020-06-01,87.37566667,65.92408,6260.46218,1,31.11954545,-0.518318182
2020-07-01,66.97165,53.938225,6308.12757,1,26.87695652,-0.149086957
2020-08-01,92.17885,68.3745,6487.84559,1,22.88952381,0.203904762
2020-09-01,49.1915,36.72664,6650.87625,1,27.78863636,-0.027863636
2020-10-01,66.2497,44.813875,6619.881,1,29.43863636,-0.023545455
2020-11-01,85.47705,54.6309,6634.9977,1,24.81714286,0.356428571
2020-12-01,94.3088,61.0349,6665.3902,1,22.3373913,0.601521739
2021-01-01,84.48225,57.4138,6569.68351,1,24.78,0.636285714
2021-02-01,72.32,50.6157,6645.91079,1,22.982,0.76025
2021-03-01,56.8533,44.1317,6804.56405,1,21.84304348,0.769478261
2021-04-01,52.4001,36.017775,6798.491,1,17.41227273,1.109590909
2021-05-01,78.1632,49.03445,6836.9639,1,19.61761905,1.104809524
2021-06-01,74.20495,57.68302,6966.34897,1,16.95681818,1.297772727
